"state","cases_import","cases_new","cases_recovered","population"
"Johor",141,82257,61796,3781000
"Kedah",1,81718,66076,2185100
"Kelantan",4,51242,44031,1906700
"Melaka",2,36781,32602,932700
"Negeri Sembilan",35,65462,64617,1128800
"Pahang",18,35271,29068,1678700
"Perak",6,48358,39586,1773600
"Perlis",0,1476,833,2510300
"Pulau Pinang",17,59627,40109,254900
"Sabah",4,88029,57591,6538000
"Sarawak",53,71643,51588,1259300
"Selangor",377,420780,366380,3908500
"Terengganu",37,25227,21361,2816500
"W.P. Kuala Lumpur",623,115158,106725,1773700
"W.P. Labuan",4,6090,7072,99600
"W.P. Putrajaya",1,3540,3325,110000
