date,cases_new,cases_recovered
6/1/21,7105,6083
6/2/21,7703,5777
6/3/21,8209,7049
6/4/21,7748,6624
6/5/21,7452,6105
6/6/21,6241,5133
6/7/21,5271,7548
6/8/21,5566,6962
6/9/21,6239,7386
6/10/21,5671,7325
6/11/21,6849,7749
6/12/21,5793,8334
6/13/21,5304,8163
6/14/21,4949,6588
6/15/21,5419,6831
6/16/21,5150,7240
6/17/21,5738,7530
6/18/21,6440,6861
6/19/21,5911,6918
6/20/21,5293,5941
6/21/21,4611,5439
6/22/21,4743,5557
6/23/21,5244,6372
6/24/21,5841,5411
6/25/21,5812,6775
6/26/21,5803,5193
6/27/21,5586,4777
6/28/21,5218,4744
6/29/21,6437,5298
6/30/21,6276,4929
7/1/21,6988,5580
7/2/21,6982,6278
7/3/21,6658,5677
7/4/21,6045,5271
7/5/21,6387,4532
7/6/21,7654,4797
7/7/21,7097,4863
7/8/21,8868,5802
7/9/21,9180,5713
7/10/21,9353,5910
7/11/21,9105,5194
7/12/21,8574,5041
7/13/21,11079,5990
7/14/21,11618,6377
7/15/21,13215,6095
7/16/21,12541,6742
7/17/21,12528,6629
7/18/21,10710,5778
7/19/21,10972,6439
7/20/21,12366,7567
7/21/21,11985,7902
7/22/21,13034,8436
7/23/21,15573,10094
7/24/21,15902,9471
7/25/21,17045,9683
7/26/21,14516,9371
7/27/21,16117,11526
7/28/21,17405,12373
7/29/21,17170,12930
7/30/21,16840,12179
7/31/21,17786,11718
8/1/21,17150,11326
8/2/21,15764,11767
8/3/21,17105,12297
8/4/21,19819,12704
8/5/21,20596,13893
8/6/21,20889,16394
8/7/21,19257,16323
8/8/21,18688,17055
8/9/21,17236,15187
8/10/21,19991,16258
8/11/21,20780,17973
8/12/21,21668,17687
8/13/21,21468,17025
8/14/21,20670,17655
8/15/21,20546,16945
8/16/21,19740,17450
8/17/21,19631,16467
8/18/21,22242,19680
8/19/21,22948,21720
8/20/21,23564,21448
8/21/21,22262,18576
8/22/21,19807,18200
8/23/21,17672,19053
8/24/21,20837,18613
8/25/21,22642,20798
8/26/21,24599,22657
8/27/21,22070,21877
8/28/21,22597,19492
8/29/21,20579,20845
8/30/21,19268,21257
8/31/21,20897,18465
9/1/21,18762,21073
