"date","type","value"
"06/01/21","cases_new",7105
"06/02/21","cases_new",7703
"06/03/21","cases_new",8209
"06/04/21","cases_new",7748
"06/05/21","cases_new",7452
"06/06/21","cases_new",6241
"06/07/21","cases_new",5271
"06/08/21","cases_new",5566
"06/09/21","cases_new",6239
"06/10/21","cases_new",5671
"06/11/21","cases_new",6849
"06/12/21","cases_new",5793
"06/13/21","cases_new",5304
"06/14/21","cases_new",4949
"06/15/21","cases_new",5419
"06/16/21","cases_new",5150
"06/17/21","cases_new",5738
"06/18/21","cases_new",6440
"06/19/21","cases_new",5911
"06/20/21","cases_new",5293
"06/21/21","cases_new",4611
"06/22/21","cases_new",4743
"06/23/21","cases_new",5244
"06/24/21","cases_new",5841
"06/25/21","cases_new",5812
"06/26/21","cases_new",5803
"06/27/21","cases_new",5586
"06/28/21","cases_new",5218
"06/29/21","cases_new",6437
"06/30/21","cases_new",6276
"07/01/21","cases_new",6988
"07/02/21","cases_new",6982
"07/03/21","cases_new",6658
"07/04/21","cases_new",6045
"07/05/21","cases_new",6387
"07/06/21","cases_new",7654
"07/07/21","cases_new",7097
"07/08/21","cases_new",8868
"07/09/21","cases_new",9180
"07/10/21","cases_new",9353
"07/11/21","cases_new",9105
"07/12/21","cases_new",8574
"07/13/21","cases_new",11079
"07/14/21","cases_new",11618
"07/15/21","cases_new",13215
"07/16/21","cases_new",12541
"07/17/21","cases_new",12528
"07/18/21","cases_new",10710
"07/19/21","cases_new",10972
"07/20/21","cases_new",12366
"07/21/21","cases_new",11985
"07/22/21","cases_new",13034
"07/23/21","cases_new",15573
"07/24/21","cases_new",15902
"07/25/21","cases_new",17045
"07/26/21","cases_new",14516
"07/27/21","cases_new",16117
"07/28/21","cases_new",17405
"07/29/21","cases_new",17170
"07/30/21","cases_new",16840
"07/31/21","cases_new",17786
"08/01/21","cases_new",17150
"08/02/21","cases_new",15764
"08/03/21","cases_new",17105
"08/04/21","cases_new",19819
"08/05/21","cases_new",20596
"08/06/21","cases_new",20889
"08/07/21","cases_new",19257
"08/08/21","cases_new",18688
"08/09/21","cases_new",17236
"08/10/21","cases_new",19991
"08/11/21","cases_new",20780
"08/12/21","cases_new",21668
"08/13/21","cases_new",21468
"08/14/21","cases_new",20670
"08/15/21","cases_new",20546
"08/16/21","cases_new",19740
"08/17/21","cases_new",19631
"08/18/21","cases_new",22242
"08/19/21","cases_new",22948
"08/20/21","cases_new",23564
"08/21/21","cases_new",22262
"08/22/21","cases_new",19807
"08/23/21","cases_new",17672
"08/24/21","cases_new",20837
"08/25/21","cases_new",22642
"08/26/21","cases_new",24599
"08/27/21","cases_new",22070
"08/28/21","cases_new",22597
"08/29/21","cases_new",20579
"08/30/21","cases_new",19268
"08/31/21","cases_new",20897
"09/01/21","cases_new",18762
"06/01/21","cases_recovered",6083
"06/02/21","cases_recovered",5777
"06/03/21","cases_recovered",7049
"06/04/21","cases_recovered",6624
"06/05/21","cases_recovered",6105
"06/06/21","cases_recovered",5133
"06/07/21","cases_recovered",7548
"06/08/21","cases_recovered",6962
"06/09/21","cases_recovered",7386
"06/10/21","cases_recovered",7325
"06/11/21","cases_recovered",7749
"06/12/21","cases_recovered",8334
"06/13/21","cases_recovered",8163
"06/14/21","cases_recovered",6588
"06/15/21","cases_recovered",6831
"06/16/21","cases_recovered",7240
"06/17/21","cases_recovered",7530
"06/18/21","cases_recovered",6861
"06/19/21","cases_recovered",6918
"06/20/21","cases_recovered",5941
"06/21/21","cases_recovered",5439
"06/22/21","cases_recovered",5557
"06/23/21","cases_recovered",6372
"06/24/21","cases_recovered",5411
"06/25/21","cases_recovered",6775
"06/26/21","cases_recovered",5193
"06/27/21","cases_recovered",4777
"06/28/21","cases_recovered",4744
"06/29/21","cases_recovered",5298
"06/30/21","cases_recovered",4929
"07/01/21","cases_recovered",5580
"07/02/21","cases_recovered",6278
"07/03/21","cases_recovered",5677
"07/04/21","cases_recovered",5271
"07/05/21","cases_recovered",4532
"07/06/21","cases_recovered",4797
"07/07/21","cases_recovered",4863
"07/08/21","cases_recovered",5802
"07/09/21","cases_recovered",5713
"07/10/21","cases_recovered",5910
"07/11/21","cases_recovered",5194
"07/12/21","cases_recovered",5041
"07/13/21","cases_recovered",5990
"07/14/21","cases_recovered",6377
"07/15/21","cases_recovered",6095
"07/16/21","cases_recovered",6742
"07/17/21","cases_recovered",6629
"07/18/21","cases_recovered",5778
"07/19/21","cases_recovered",6439
"07/20/21","cases_recovered",7567
"07/21/21","cases_recovered",7902
"07/22/21","cases_recovered",8436
"07/23/21","cases_recovered",10094
"07/24/21","cases_recovered",9471
"07/25/21","cases_recovered",9683
"07/26/21","cases_recovered",9371
"07/27/21","cases_recovered",11526
"07/28/21","cases_recovered",12373
"07/29/21","cases_recovered",12930
"07/30/21","cases_recovered",12179
"07/31/21","cases_recovered",11718
"08/01/21","cases_recovered",11326
"08/02/21","cases_recovered",11767
"08/03/21","cases_recovered",12297
"08/04/21","cases_recovered",12704
"08/05/21","cases_recovered",13893
"08/06/21","cases_recovered",16394
"08/07/21","cases_recovered",16323
"08/08/21","cases_recovered",17055
"08/09/21","cases_recovered",15187
"08/10/21","cases_recovered",16258
