date,state,daily
6/1/21,Johor,9977
6/1/21,Kedah,9189
6/1/21,Kelantan,9271
6/1/21,Melaka,2864
6/1/21,Negeri Sembilan,4451
6/1/21,Pahang,4856
6/1/21,Perak,8219
6/1/21,Perlis,2019
6/1/21,Pulau Pinang,4683
6/1/21,Sabah,2447
6/1/21,Sarawak,409
6/1/21,Selangor,16168
6/1/21,Terengganu,5209
6/1/21,W.P. Kuala Lumpur,17995
6/1/21,W.P. Labuan,391
6/1/21,W.P. Putrajaya,1533
6/2/21,Johor,9377
6/2/21,Kedah,10845
6/2/21,Kelantan,8674
6/2/21,Melaka,2979
6/2/21,Negeri Sembilan,3361
6/2/21,Pahang,5055
6/2/21,Perak,7787
6/2/21,Perlis,2136
6/2/21,Pulau Pinang,4903
6/2/21,Sabah,8261
6/2/21,Sarawak,547
6/2/21,Selangor,18574
6/2/21,Terengganu,4637
6/2/21,W.P. Kuala Lumpur,17059
6/2/21,W.P. Labuan,796
6/2/21,W.P. Putrajaya,1679
6/3/21,Johor,7765
6/3/21,Kedah,10891
6/3/21,Kelantan,9389
6/3/21,Melaka,3736
6/3/21,Negeri Sembilan,3589
6/3/21,Pahang,5997
6/3/21,Perak,8107
6/3/21,Perlis,2273
6/3/21,Pulau Pinang,5420
6/3/21,Sabah,9855
6/3/21,Sarawak,11786
6/3/21,Selangor,18522
6/3/21,Terengganu,2861
6/3/21,W.P. Kuala Lumpur,16393
6/3/21,W.P. Labuan,947
6/3/21,W.P. Putrajaya,1440
6/4/21,Johor,1782
6/4/21,Kedah,4991
6/4/21,Kelantan,463
6/4/21,Melaka,3547
6/4/21,Negeri Sembilan,3241
6/4/21,Pahang,4166
6/4/21,Perak,9207
6/4/21,Perlis,1231
6/4/21,Pulau Pinang,5663
6/4/21,Sabah,10881
6/4/21,Sarawak,10636
6/4/21,Selangor,16558
6/4/21,Terengganu,1
6/4/21,W.P. Kuala Lumpur,16763
6/4/21,W.P. Labuan,649
6/4/21,W.P. Putrajaya,1392
6/5/21,Johor,10778
6/5/21,Kedah,3397
6/5/21,Kelantan,768
6/5/21,Melaka,2157
6/5/21,Negeri Sembilan,1089
6/5/21,Pahang,2138
6/5/21,Perak,7165
6/5/21,Perlis,783
6/5/21,Pulau Pinang,3615
6/5/21,Sabah,9430
6/5/21,Sarawak,10659
6/5/21,Selangor,10483
6/5/21,Terengganu,923
6/5/21,W.P. Kuala Lumpur,9413
6/5/21,W.P. Labuan,632
6/5/21,W.P. Putrajaya,1
6/6/21,Johor,10764
6/6/21,Kedah,10508
6/6/21,Kelantan,7219
6/6/21,Melaka,0
6/6/21,Negeri Sembilan,1064
6/6/21,Pahang,4173
6/6/21,Perak,7825
6/6/21,Perlis,0
6/6/21,Pulau Pinang,3
6/6/21,Sabah,7538
6/6/21,Sarawak,14707
6/6/21,Selangor,5621
6/6/21,Terengganu,4200
6/6/21,W.P. Kuala Lumpur,8799
6/6/21,W.P. Labuan,0
6/6/21,W.P. Putrajaya,0
6/7/21,Johor,3453
6/7/21,Kedah,2965
6/7/21,Kelantan,495
6/7/21,Melaka,0
6/7/21,Negeri Sembilan,631
6/7/21,Pahang,52
6/7/21,Perak,654
6/7/21,Perlis,0
6/7/21,Pulau Pinang,1531
6/7/21,Sabah,7577
6/7/21,Sarawak,15153
6/7/21,Selangor,9394
6/7/21,Terengganu,301
6/7/21,W.P. Kuala Lumpur,22698
6/7/21,W.P. Labuan,51
6/7/21,W.P. Putrajaya,751
6/8/21,Johor,18326
6/8/21,Kedah,10180
6/8/21,Kelantan,9979
6/8/21,Melaka,3755
6/8/21,Negeri Sembilan,6554
6/8/21,Pahang,6533
6/8/21,Perak,9932
6/8/21,Perlis,1770
6/8/21,Pulau Pinang,7620
6/8/21,Sabah,12035
6/8/21,Sarawak,12446
6/8/21,Selangor,23446
6/8/21,Terengganu,3890
6/8/21,W.P. Kuala Lumpur,25659
6/8/21,W.P. Labuan,526
6/8/21,W.P. Putrajaya,1542
6/9/21,Johor,18623
6/9/21,Kedah,10301
6/9/21,Kelantan,11018
6/9/21,Melaka,3917
6/9/21,Negeri Sembilan,5917
6/9/21,Pahang,8069
6/9/21,Perak,10720
6/9/21,Perlis,2221
6/9/21,Pulau Pinang,8465
6/9/21,Sabah,13477
6/9/21,Sarawak,9137
6/9/21,Selangor,25122
6/9/21,Terengganu,4808
6/9/21,W.P. Kuala Lumpur,22720
6/9/21,W.P. Labuan,648
6/9/21,W.P. Putrajaya,1424
6/10/21,Johor,18892
6/10/21,Kedah,9967
6/10/21,Kelantan,10758
6/10/21,Melaka,3016
6/10/21,Negeri Sembilan,6186
6/10/21,Pahang,7763
6/10/21,Perak,10269
6/10/21,Perlis,2655
6/10/21,Pulau Pinang,10238
6/10/21,Sabah,13752
6/10/21,Sarawak,8119
6/10/21,Selangor,27187
6/10/21,Terengganu,3850
6/10/21,W.P. Kuala Lumpur,25823
6/10/21,W.P. Labuan,634
6/10/21,W.P. Putrajaya,1646
6/11/21,Johor,5902
6/11/21,Kedah,2294
6/11/21,Kelantan,557
6/11/21,Melaka,2870
6/11/21,Negeri Sembilan,4893
6/11/21,Pahang,6009
6/11/21,Perak,11550
6/11/21,Perlis,1488
6/11/21,Pulau Pinang,10093
6/11/21,Sabah,13713
6/11/21,Sarawak,12545
6/11/21,Selangor,25510
6/11/21,Terengganu,182
