"date","daily","daily_partial_child","daily_full_child","cumul_partial","cumul_full","cumul","cumul_partial_child","cumul_full_child","pfizer1","pfizer2","sinovac1","sinovac2","astra1","astra2","cansino","pending","vaccination_status","value"
"01/06/21",99681,0,0,2016790,1113267,3130057,0,0,30659,21181,30590,3201,14029,2,0,19,"daily_partial",75296
"01/06/21",99681,0,0,2016790,1113267,3130057,0,0,30659,21181,30590,3201,14029,2,0,19,"daily_full",24385
"01/07/21",269366,8,1,6113396,2416180,8529576,165,10,27282,47457,134417,38777,21386,9,0,38,"daily_partial",183106
"01/07/21",269366,8,1,6113396,2416180,8529576,165,10,27282,47457,134417,38777,21386,9,0,38,"daily_full",86260
"01/08/21",491643,570,2,14431923,7044284,21476207,4999,142,155669,48709,138527,123124,12688,12850,0,76,"daily_partial",306900
"01/08/21",491643,570,2,14431923,7044284,21476207,4999,142,155669,48709,138527,123124,12688,12850,0,76,"daily_full",184743
"01/09/21",409140,2126,458,20026689,15355795,35360421,28436,9073,155138,105029,23386,88438,12196,21441,1665,1847,"daily_partial",191724
"01/09/21",409140,2126,458,20026689,15355795,35360421,28436,9073,155138,105029,23386,88438,12196,21441,1665,1847,"daily_full",217416
"02/06/21",106670,0,0,2113618,1123109,3236727,0,0,36154,7975,46144,1867,14506,0,0,24,"daily_partial",96828
"02/06/21",106670,0,0,2113618,1123109,3236727,0,0,36154,7975,46144,1867,14506,0,0,24,"daily_full",9842
"02/07/21",240001,1,1,6283069,2486508,8769577,166,11,28167,29991,119520,40319,21978,13,0,13,"daily_partial",169673
"02/07/21",240001,1,1,6283069,2486508,8769577,166,11,28167,29991,119520,40319,21978,13,0,13,"daily_full",70328
"02/08/21",483436,604,31,14664975,7294668,21959643,5603,173,156563,71255,72411,165666,4036,13004,0,501,"daily_partial",233052
"02/08/21",483436,604,31,14664975,7294668,21959643,5603,173,156563,71255,72411,165666,4036,13004,0,501,"daily_full",250384
"03/06/21",118971,0,0,2224787,1130911,3355698,0,0,38773,3224,57594,4576,14786,1,0,17,"daily_partial",111169
"03/06/21",118971,0,0,2224787,1130911,3355698,0,0,38773,3224,57594,4576,14786,1,0,17,"daily_full",7802
"03/07/21",223032,5,3,6427554,2565055,8992609,171,14,25900,38628,99979,39888,18594,7,0,36,"daily_partial",144485
"03/07/21",223032,5,3,6427554,2565055,8992609,171,14,25900,38628,99979,39888,18594,7,0,36,"daily_full",78547
"03/08/21",499827,657,30,14915337,7544133,22459470,6260,203,178967,67666,67190,168501,4077,13190,0,236,"daily_partial",250362
"03/08/21",499827,657,30,14915337,7544133,22459470,6260,203,178967,67666,67190,168501,4077,13190,0,236,"daily_full",249465
"04/06/21",91171,3,0,2311024,1135845,3446869,3,0,27500,2713,42923,2219,15793,1,0,22,"daily_partial",86237
"04/06/21",91171,3,0,2311024,1135845,3446869,3,0,27500,2713,42923,2219,15793,1,0,22,"daily_full",4934
"04/07/21",214876,1,1,6562330,2645155,9207485,172,15,27181,42452,88676,37640,18913,4,0,10,"daily_partial",134776
"04/07/21",214876,1,1,6562330,2645155,9207485,172,15,27181,42452,88676,37640,18913,4,0,10,"daily_full",80100
"04/08/21",509369,601,16,15153051,7815788,22968839,6861,219,178530,78535,54814,179438,4353,13636,0,63,"daily_partial",237714
"04/08/21",509369,601,16,15153051,7815788,22968839,6861,219,178530,78535,54814,179438,4353,13636,0,63,"daily_full",271655
"05/06/21",73431,0,0,2383067,1137233,3520300,3,0,34101,1324,22667,63,15259,0,0,17,"daily_partial",72043
"05/06/21",73431,0,0,2383067,1137233,3520300,3,0,34101,1324,22667,63,15259,0,0,17,"daily_full",1388
"05/07/21",326071,3,1,6768431,2765125,9533556,175,16,34581,53681,149857,65540,21632,698,0,82,"daily_partial",206101
"05/07/21",326071,3,1,6768431,2765125,9533556,175,16,34581,53681,149857,65540,21632,698,0,82,"daily_full",119970
"05/08/21",530533,571,12,15383428,8115944,23499372,7432,231,164009,98839,61980,187600,4284,13678,0,143,"daily_partial",230377
"05/08/21",530533,571,12,15383428,8115944,23499372,7432,231,164009,98839,61980,187600,4284,13678,0,143,"daily_full",300156
"06/06/21",82421,1,0,2463916,1138805,3602721,4,0,38522,1480,28291,91,14023,0,0,14,"daily_partial",80849
"06/06/21",82421,1,0,2463916,1138805,3602721,4,0,38522,1480,28291,91,14023,0,0,14,"daily_full",1572
"06/07/21",353609,5,2,6984598,2902567,9887165,180,18,38230,57196,156145,80109,21774,16,0,139,"daily_partial",216167
"06/07/21",353609,5,2,6984598,2902567,9887165,180,18,38230,57196,156145,80109,21774,16,0,139,"daily_full",137442
"06/08/21",460477,433,33,15579693,8380156,23959849,7865,264,124401,93060,57343,156298,14474,14818,0,83,"daily_partial",196265
"06/08/21",460477,433,33,15579693,8380156,23959849,7865,264,124401,93060,57343,156298,14474,14818,0,83,"daily_full",264212
"07/06/21",65706,4,0,2524530,1143897,3668427,8,0,11229,3555,31139,1535,18228,0,0,20,"daily_partial",60614
"07/06/21",65706,4,0,2524530,1143897,3668427,8,0,11229,3555,31139,1535,18228,0,0,20,"daily_full",5092
"07/07/21",393269,17,7,7202856,3077578,10280434,197,25,39691,62812,157024,107581,21535,4361,0,265,"daily_partial",218258
"07/07/21",393269,17,7,7202856,3077578,10280434,197,25,39691,62812,157024,107581,21535,4361,0,265,"daily_full",175011
"07/08/21",440009,441,52,15775166,8624692,24399858,8306,316,109445,88819,63711,141192,22208,14503,0,131,"daily_partial",195473
"07/08/21",440009,441,52,15775166,8624692,24399858,8306,316,109445,88819,63711,141192,22208,14503,0,131,"daily_full",244536
"08/06/21",154193,2,0,2632617,1190003,3822620,10,0,51003,41107,36472,4987,20580,1,0,43,"daily_partial",108087
"08/06/21",154193,2,0,2632617,1190003,3822620,10,0,51003,41107,36472,4987,20580,1,0,43,"daily_full",46106
"08/07/21",388055,15,1,7432020,3236469,10668489,212,26,40443,58610,167066,96912,21589,3344,0,91,"daily_partial",229164
"08/07/21",388055,15,1,7432020,3236469,10668489,212,26,40443,58610,167066,96912,21589,3344,0,91,"daily_full",158891
"08/08/21",403716,51,58,15940319,8863255,24803574,8357,374,79355,93395,61839,130928,23924,13983,0,292,"daily_partial",165153
"08/08/21",403716,51,58,15940319,8863255,24803574,8357,374,79355,93395,61839,130928,23924,13983,0,292,"daily_full",238563
"09/06/21",156587,0,0,2748632,1230575,3979207,10,0,61229,31455,38860,9103,15899,0,0,41,"daily_partial",116015
"09/06/21",156587,0,0,2748632,1230575,3979207,10,0,61229,31455,38860,9103,15899,0,0,41,"daily_full",40572
"09/07/21",347978,17,0,7652013,3364454,11016467,229,26,43373,40533,154701,83991,21907,3434,0,39,"daily_partial",219993
