date,daily_partial,daily_full,daily,daily_partial_child,daily_full_child,cumul_partial,cumul_full,cumul,cumul_partial_child,cumul_full_child,pfizer1,pfizer2,sinovac1,sinovac2,astra1,astra2,cansino,pending
6/1/21,75296,24385,99681,0,0,2016790,1113267,3130057,0,0,30659,21181,30590,3201,14029,2,0,19
6/2/21,96828,9842,106670,0,0,2113618,1123109,3236727,0,0,36154,7975,46144,1867,14506,0,0,24
6/3/21,111169,7802,118971,0,0,2224787,1130911,3355698,0,0,38773,3224,57594,4576,14786,1,0,17
6/4/21,86237,4934,91171,3,0,2311024,1135845,3446869,3,0,27500,2713,42923,2219,15793,1,0,22
6/5/21,72043,1388,73431,0,0,2383067,1137233,3520300,3,0,34101,1324,22667,63,15259,0,0,17
6/6/21,80849,1572,82421,1,0,2463916,1138805,3602721,4,0,38522,1480,28291,91,14023,0,0,14
6/7/21,60614,5092,65706,4,0,2524530,1143897,3668427,8,0,11229,3555,31139,1535,18228,0,0,20
6/8/21,108087,46106,154193,2,0,2632617,1190003,3822620,10,0,51003,41107,36472,4987,20580,1,0,43
6/9/21,116015,40572,156587,0,0,2748632,1230575,3979207,10,0,61229,31455,38860,9103,15899,0,0,41
6/10/21,113507,47248,160755,2,0,2862139,1277823,4139962,12,0,51954,32693,39869,14543,21618,0,0,78
6/11/21,96127,30176,126303,1,0,2958266,1307999,4266265,13,0,30908,18611,40809,11558,24391,1,0,25
6/12/21,102883,34000,136883,4,0,3061149,1341999,4403148,17,0,40001,14421,42282,19547,20566,1,0,65
6/13/21,104456,26870,131326,1,1,3165605,1368869,4534474,18,1,42986,12460,39753,14398,21712,0,0,17
6/14/21,146774,55686,202460,2,0,3312379,1424555,4736934,20,1,54569,25151,67138,30521,25011,0,0,70
6/15/21,165941,55980,221921,3,0,3478320,1480535,4958855,23,1,59563,24019,81948,31954,24398,0,0,39
6/16/21,204976,8177,213153,15,1,3683296,1488712,5172008,38,2,70619,3382,110504,4791,23843,1,0,13
6/17/21,183842,44169,228011,2,0,3867138,1532881,5400019,40,2,59451,18684,98657,25467,25714,0,0,38
6/18/21,152082,32588,184670,3,0,4019220,1565469,5584689,43,2,40706,14511,86128,18075,25242,0,0,8
6/19/21,134630,36147,170777,7,0,4153850,1601616,5755466,50,2,51626,16399,63147,19744,19850,0,0,11
6/20/21,121115,24171,145286,3,1,4274965,1625787,5900752,53,3,37331,8916,64782,15249,18988,0,0,20
6/21/21,189908,54482,244390,9,0,4464873,1680269,6145142,62,3,47479,25155,116630,29307,25768,3,0,48
6/22/21,198099,60682,258781,26,0,4662972,1740951,6403923,88,3,48311,30604,126229,30064,23544,4,0,25
6/23/21,183958,79699,263657,18,0,4846930,1820650,6667580,106,3,38525,35018,122381,44654,22906,1,0,172
6/24/21,181951,94365,276316,12,0,5028881,1915015,6943896,118,3,32723,37581,126076,56763,23009,3,0,161
6/25/21,153565,68013,221578,4,2,5182446,1983028,7165474,122,5,28681,26353,102908,41638,21921,4,0,73
6/26/21,140363,56157,196520,7,0,5322809,2039185,7361994,129,5,33508,34261,88181,21883,18308,0,0,379
6/27/21,111226,65864,177090,6,0,5434035,2105049,7539084,135,5,22492,38259,72286,27591,16441,0,0,21
6/28/21,165259,43342,208601,11,3,5599294,2148391,7747685,146,8,41581,11483,102815,31838,20806,3,0,75
6/29/21,157965,85028,242993,9,1,5757259,2233419,7990678,155,9,31041,49109,105941,35898,20968,3,0,33
6/30/21,173031,96501,269532,2,0,5930290,2329920,8260210,157,9,27863,58231,123845,38174,21267,5,0,147
7/1/21,183106,86260,269366,8,1,6113396,2416180,8529576,165,10,27282,47457,134417,38777,21386,9,0,38
7/2/21,169673,70328,240001,1,1,6283069,2486508,8769577,166,11,28167,29991,119520,40319,21978,13,0,13
7/3/21,144485,78547,223032,5,3,6427554,2565055,8992609,171,14,25900,38628,99979,39888,18594,7,0,36
7/4/21,134776,80100,214876,1,1,6562330,2645155,9207485,172,15,27181,42452,88676,37640,18913,4,0,10
7/5/21,206101,119970,326071,3,1,6768431,2765125,9533556,175,16,34581,53681,149857,65540,21632,698,0,82
7/6/21,216167,137442,353609,5,2,6984598,2902567,9887165,180,18,38230,57196,156145,80109,21774,16,0,139
7/7/21,218258,175011,393269,17,7,7202856,3077578,10280434,197,25,39691,62812,157024,107581,21535,4361,0,265
7/8/21,229164,158891,388055,15,1,7432020,3236469,10668489,212,26,40443,58610,167066,96912,21589,3344,0,91
7/9/21,219993,127985,347978,17,0,7652013,3364454,11016467,229,26,43373,40533,154701,83991,21907,3434,0,39
7/10/21,219224,114575,333799,13,4,7871237,3479029,11350266,242,30,51470,49270,149292,61787,18448,3500,0,32
7/11/21,193991,102906,296897,6,0,8065228,3581935,11647163,248,30,50683,37341,124936,62070,18365,3423,0,79
7/12/21,270603,161472,432075,41,3,8335831,3743407,12079238,289,33,74266,45785,175196,112234,21090,3413,0,91
7/13/21,266734,169733,436467,48,17,8602565,3913140,12515705,337,50,70060,46246,178046,119873,18554,3490,0,198
7/14/21,293391,161559,454950,31,10,8895956,4074699,12970655,368,60,81828,39644,190500,118459,21004,3327,0,188
7/15/21,315235,159687,474922,26,4,9211191,4234386,13445577,394,64,101310,36119,190604,123304,23289,25,0,271
7/16/21,281700,132926,414626,49,0,9492891,4367312,13860203,443,64,95627,31922,163445,100813,22536,64,0,219
7/17/21,261924,130103,392027,75,3,9754815,4497415,14252230,518,67,96801,34736,146325,85909,18584,9342,0,330
