date,state,daily_partial,daily_full,daily,daily_partial_child,daily_full_child,cumul_partial,cumul_full,cumul,cumul_partial_child,cumul_full_child,pfizer1,pfizer2,sinovac1,sinovac2,astra1,astra2,cansino,pending
6/1/21,Johor,7854,2123,9977,0,0,187294,98011,285305,0,0,5821,1971,1924,152,108,0,0,1
6/1/21,Kedah,8523,666,9189,0,0,127793,70241,198034,0,0,5073,631,3383,35,60,0,0,7
6/1/21,Kelantan,7131,2140,9271,0,0,97597,55051,152648,0,0,2472,2081,4657,59,0,0,0,2
6/1/21,Melaka,2358,506,2864,0,0,49804,36433,86237,0,0,1139,406,1219,100,0,0,0,0
6/1/21,Negeri Sembilan,1837,2614,4451,0,0,77183,55965,133148,0,0,298,2540,1539,74,0,0,0,0
6/1/21,Pahang,1859,2997,4856,0,0,104983,79235,184218,0,0,1475,1457,384,1540,0,0,0,0
6/1/21,Perak,4602,3617,8219,0,0,161940,105221,267161,0,0,943,3543,3656,73,0,0,0,4
6/1/21,Perlis,1959,60,2019,0,0,31919,19102,51021,0,0,1942,44,17,16,0,0,0,0
6/1/21,Pulau Pinang,3880,803,4683,0,0,94623,73563,168186,0,0,1044,682,2713,121,123,0,0,0
6/1/21,Sabah,1501,946,2447,0,0,140776,87659,228435,0,0,577,797,923,149,0,0,0,1
6/1/21,Sarawak,270,139,409,0,0,198783,115332,314115,0,0,173,0,97,139,0,0,0,0
6/1/21,Selangor,13994,2174,16168,0,0,283316,141743,425059,0,0,6422,1882,3389,292,4182,0,0,1
6/1/21,Terengganu,3443,1766,5209,0,0,78557,49544,128101,0,0,296,1764,3146,2,0,0,0,1
6/1/21,W.P. Kuala Lumpur,15276,2719,17995,0,0,345587,102325,447912,0,0,2678,2600,3040,117,9556,2,0,2
6/1/21,W.P. Labuan,0,391,391,0,0,14002,11697,25699,0,0,0,373,0,18,0,0,0,0
6/1/21,W.P. Putrajaya,809,724,1533,0,0,22633,12145,34778,0,0,306,410,503,314,0,0,0,0
6/2/21,Johor,9199,178,9377,0,0,196493,98189,294682,0,0,7190,56,1816,122,193,0,0,0
6/2/21,Kedah,10574,271,10845,0,0,138367,70512,208879,0,0,4723,231,5808,40,43,0,0,0
6/2/21,Kelantan,8501,173,8674,0,0,106098,55224,161322,0,0,2068,161,6428,12,0,0,0,5
6/2/21,Melaka,2935,44,2979,0,0,52739,36477,89216,0,0,1331,43,1604,1,0,0,0,0
6/2/21,Negeri Sembilan,3008,353,3361,0,0,80191,56318,136509,0,0,697,262,2274,91,36,0,0,1
6/2/21,Pahang,4257,798,5055,0,0,109240,80033,189273,0,0,3249,46,1008,752,0,0,0,0
6/2/21,Perak,7501,286,7787,0,0,169441,105507,274948,0,0,762,284,6688,2,48,0,0,3
6/2/21,Perlis,2119,17,2136,0,0,34038,19119,53157,0,0,521,1,1598,16,0,0,0,0
6/2/21,Pulau Pinang,4426,477,4903,0,0,99049,74040,173089,0,0,1001,349,3369,128,55,0,0,1
6/2/21,Sabah,5941,2320,8261,0,0,146717,89979,236696,0,0,3544,2060,2396,260,0,0,0,1
6/2/21,Sarawak,401,146,547,0,0,199184,115478,314662,0,0,51,0,350,146,0,0,0,0
6/2/21,Selangor,16830,1744,18574,0,0,300146,143487,443633,0,0,7236,1578,4892,166,4701,0,0,1
6/2/21,Terengganu,3933,704,4637,0,0,82490,50248,132738,0,0,313,702,3614,2,0,0,0,6
6/2/21,W.P. Kuala Lumpur,15372,1687,17059,0,0,360959,104012,464971,0,0,2702,1563,3234,124,9430,0,0,6
6/2/21,W.P. Labuan,432,364,796,0,0,14434,12061,26495,0,0,432,364,0,0,0,0,0,0
6/2/21,W.P. Putrajaya,1399,280,1679,0,0,24032,12425,36457,0,0,334,275,1065,5,0,0,0,0
6/3/21,Johor,7751,14,7765,0,0,204244,98203,302447,0,0,4872,4,2641,10,238,0,0,0
6/3/21,Kedah,10708,183,10891,0,0,149075,70695,219770,0,0,4822,176,5885,7,0,0,0,1
6/3/21,Kelantan,9057,332,9389,0,0,115155,55556,170711,0,0,2258,233,6786,99,11,0,0,2
6/3/21,Melaka,3729,7,3736,0,0,56468,36484,92952,0,0,1945,6,1784,1,0,0,0,0
6/3/21,Negeri Sembilan,3589,0,3589,0,0,83780,56318,140098,0,0,637,0,2952,0,0,0,0,0
6/3/21,Pahang,5923,74,5997,0,0,115163,80107,195270,0,0,2022,57,3901,17,0,0,0,0
6/3/21,Perak,8103,4,8107,0,0,177544,105511,283055,0,0,895,4,6921,0,285,0,0,2
6/3/21,Perlis,2257,16,2273,0,0,36295,19135,55430,0,0,2238,16,19,0,0,0,0,0
6/3/21,Pulau Pinang,5349,71,5420,0,0,104398,74111,178509,0,0,1289,68,3925,3,134,0,0,1
6/3/21,Sabah,8422,1433,9855,0,0,155139,91412,246551,0,0,4884,1278,3532,155,0,0,0,6
6/3/21,Sarawak,6656,5130,11786,0,0,205840,120608,326448,0,0,31,903,6625,4226,0,0,0,1
6/3/21,Selangor,18424,98,18522,0,0,318570,143585,462155,0,0,8463,55,5387,43,4573,0,0,1
6/3/21,Terengganu,2849,12,2861,0,0,85339,50260,135599,0,0,196,9,2653,3,0,0,0,0
6/3/21,W.P. Kuala Lumpur,16365,28,16393,0,0,377324,104040,481364,0,0,3316,20,3502,7,9545,1,0,2
6/3/21,W.P. Labuan,554,393,947,0,0,14988,12454,27442,0,0,554,393,0,0,0,0,0,0
6/3/21,W.P. Putrajaya,1433,7,1440,0,0,25465,12432,37897,0,0,351,2,1081,5,0,0,0,1
6/4/21,Johor,1782,0,1782,0,0,206026,98203,304229,0,0,886,0,896,0,0,0,0,0
6/4/21,Kedah,4987,4,4991,0,0,154062,70699,224761,0,0,717,1,4270,3,0,0,0,0
6/4/21,Kelantan,463,0,463,0,0,115618,55556,171174,0,0,0,0,463,0,0,0,0,0
6/4/21,Melaka,3537,10,3547,0,0,60005,36494,96499,0,0,1177,5,2360,5,0,0,0,0
6/4/21,Negeri Sembilan,3207,34,3241,0,0,86987,56352,143339,0,0,540,33,2655,1,12,0,0,0
6/4/21,Pahang,4079,87,4166,0,0,119242,80194,199436,0,0,1148,56,2930,31,0,0,0,1
6/4/21,Perak,9072,135,9207,0,0,186616,105646,292262,0,0,3399,45,4420,90,1242,0,0,11
6/4/21,Perlis,1228,3,1231,0,0,37523,19138,56661,0,0,61,2,1167,1,0,0,0,0
6/4/21,Pulau Pinang,5601,62,5663,0,0,109999,74173,184172,0,0,1310,37,4170,25,119,0,0,2
6/4/21,Sabah,10039,842,10881,0,0,165178,92254,257432,0,0,4894,799,5144,43,0,0,0,1
6/4/21,Sarawak,7765,2871,10636,0,0,213605,123479,337084,0,0,1904,926,5746,1944,110,0,0,6
6/4/21,Selangor,16322,236,16558,0,0,334892,143821,478713,0,0,6985,210,4474,26,4863,0,0,0
6/4/21,Terengganu,0,1,1,0,0,85339,50261,135600,0,0,0,1,0,0,0,0,0,0
6/4/21,W.P. Kuala Lumpur,16191,572,16763,3,0,393515,104612,498127,3,0,3619,564,3124,7,9447,1,0,1
6/4/21,W.P. Labuan,585,64,649,0,0,15573,12518,28091,0,0,472,26,113,38,0,0,0,0
6/4/21,W.P. Putrajaya,1379,13,1392,0,0,26844,12445,39289,0,0,388,8,991,5,0,0,0,0
6/5/21,Johor,10502,276,10778,0,0,216528,98479,315007,0,0,9359,268,1142,8,0,0,0,1
6/5/21,Kedah,3397,0,3397,0,0,157459,70699,228158,0,0,0,0,3397,0,0,0,0,0
6/5/21,Kelantan,763,5,768,0,0,116381,55561,171942,0,0,643,0,120,5,0,0,0,0
6/5/21,Melaka,2156,1,2157,0,0,62161,36495,98656,0,0,616,1,1540,0,0,0,0,0
6/5/21,Negeri Sembilan,1089,0,1089,0,0,88076,56352,144428,0,0,450,0,639,0,0,0,0,0
6/5/21,Pahang,2121,17,2138,0,0,121363,80211,201574,0,0,1,0,1885,17,234,0,0,1
6/5/21,Perak,7072,93,7165,0,0,193688,105739,299427,0,0,3483,93,2639,0,945,0,0,5
6/5/21,Perlis,783,0,783,0,0,38306,19138,57444,0,0,0,0,783,0,0,0,0,0
6/5/21,Pulau Pinang,3601,14,3615,0,0,113600,74187,187787,0,0,1160,14,2440,0,0,0,0,1
6/5/21,Sabah,8978,452,9430,0,0,174156,92706,266862,0,0,5403,447,3575,5,0,0,0,0
6/5/21,Sarawak,10614,45,10659,0,0,224219,123524,347743,0,0,8899,33,1700,11,11,0,0,5
6/5/21,Selangor,10383,100,10483,0,0,345275,143921,489196,0,0,3838,83,2359,17,4182,0,0,4
6/5/21,Terengganu,923,0,923,0,0,86262,50261,136523,0,0,0,0,432,0,491,0,0,0
6/5/21,W.P. Kuala Lumpur,9413,0,9413,0,0,402928,104612,507540,3,0,1,0,16,0,9396,0,0,0
6/5/21,W.P. Labuan,247,385,632,0,0,15820,12903,28723,0,0,247,385,0,0,0,0,0,0
6/5/21,W.P. Putrajaya,1,0,1,0,0,26845,12445,39290,0,0,1,0,0,0,0,0,0,0
6/6/21,Johor,10611,153,10764,0,0,227139,98632,325771,0,0,10508,153,16,0,86,0,0,1
6/6/21,Kedah,10317,191,10508,0,0,167776,70890,238666,0,0,6052,156,4165,35,92,0,0,8
6/6/21,Kelantan,6784,435,7219,0,0,123165,55996,179161,0,0,5951,417,833,18,0,0,0,0
6/6/21,Melaka,0,0,0,0,0,62161,36495,98656,0,0,0,0,0,0,0,0,0,0
6/6/21,Negeri Sembilan,1064,0,1064,0,0,89140,56352,145492,0,0,450,0,581,0,33,0,0,0
6/6/21,Pahang,4170,3,4173,0,0,125533,80214,205747,0,0,0,0,4169,3,0,0,0,1
6/6/21,Perak,7803,22,7825,0,0,201491,105761,307252,0,0,3612,22,3248,0,942,0,0,1
6/6/21,Perlis,0,0,0,0,0,38306,19138,57444,0,0,0,0,0,0,0,0,0,0
